advertiser_name,vertical
Hyundai,Vehicles Manufacturers
Hyundai,Automotive / Vehicles
Chewy,Retail Stores
Chewy,Life & Entertainment
Apple,"Business, Finance, Legal, and Logistics"
Apple,"Apparel, Footwear, and Accessories"
Apple,Electronics & Communication
Apple,Life & Entertainment
Xfinity,Electronics & Communication
Xfinity,Life & Entertainment
Xfinity,Home & Garden
Nissan,"Vehicles Parts, Supplies, and Services"
Nissan,Vehicles Manufacturers
Nissan,Automotive / Vehicles
Lexus,Vehicles Manufacturers
Lexus,Automotive / Vehicles
The Home Depot,Retail Stores
The Home Depot,"Business, Finance, Legal, and Logistics"
The Home Depot,Life & Entertainment
The Home Depot,Home & Garden
Walt Disney Studios Motion Pictures,Life & Entertainment
Chevrolet,"Vehicles Parts, Supplies, and Services"
Chevrolet,Vehicles Manufacturers
Chevrolet,Automotive / Vehicles
Chevrolet,Life & Entertainment
Vicks,Pharmaceutical & Medical
KIA,Vehicles Manufacturers
Macy's,Retail Stores
Macy's,"Apparel, Footwear, and Accessories"
Macy's,Life & Entertainment
Starbucks,Food & Beverage
Starbucks,Restaurants
Starbucks,Education
Starbucks,Life & Entertainment
Paramount Pictures,Life & Entertainment
Olay,Health & Beauty
Jeep,Vehicles Manufacturers
Jeep,Automotive / Vehicles
Prime Video,Life & Entertainment
Coca-Cola,Food & Beverage
Coca-Cola,Life & Entertainment
GMC,"Vehicles Parts, Supplies, and Services"
GMC,Vehicles Manufacturers
GMC,Automotive / Vehicles
Gain,Home & Garden
Purina,Life & Entertainment
Purina,Pets
Grainger,Retail Stores
Sensodyne,Health & Beauty
Wendy's,Restaurants
Wendy's,Life & Entertainment
State Farm,"Business, Finance, Legal, and Logistics"
State Farm,Life & Entertainment
State Farm,Insurance
Rinvoq,Pharmaceutical & Medical
Chipotle Mexican Grill,Restaurants
Chipotle Mexican Grill,Life & Entertainment
Paramount+,Life & Entertainment
Paramount+,Entertainment / Media / Leisure
Disney+,Life & Entertainment
Disney+,Entertainment / Media / Leisure
USAA,"Business, Finance, Legal, and Logistics"
USAA,Insurance
Subway,Food & Beverage
Subway,"Business, Finance, Legal, and Logistics"
Subway,Restaurants
Subway,Life & Entertainment
DUPIXENT,Pharmaceutical & Medical
Modelo,Food & Beverage
Dove,Health & Beauty
Dove,"Government, Politics, and Social Concerns"
RAM Trucks,Vehicles Manufacturers
Taco Bell,Restaurants
Taco Bell,Life & Entertainment
Skechers,Retail Stores
Skechers,"Apparel, Footwear, and Accessories"
The Farmer's Dog,Pets
Peacock,Life & Entertainment
Peacock,Entertainment / Media / Leisure
Google,Retail Stores
Google,"Apparel, Footwear, and Accessories"
Google,Electronics & Communication
Google,Life & Entertainment
Google,Electronics / Technology
Advil,Pharmaceutical & Medical
Volkswagen,Vehicles Manufacturers
Popeyes,Food & Beverage
Popeyes,Restaurants
Popeyes,Electronics & Communication
Subaru,"Vehicles Parts, Supplies, and Services"
Subaru,Vehicles Manufacturers
Bounty,Home & Garden
Crest,Health & Beauty
ESPN,Life & Entertainment
Hulu,Life & Entertainment
Hulu,Entertainment / Media / Leisure
Charmin,Home & Garden
Corona,Food & Beverage
4imprint,"Business, Finance, Legal, and Logistics"
Kellogg's,Food & Beverage
Nutrafol,Health & Beauty
Safelite,"Vehicles Parts, Supplies, and Services"
Mr. Clean,Home & Garden
Honda,"Vehicles Parts, Supplies, and Services"
Honda,Vehicles Manufacturers
Old Spice,Health & Beauty
Old Spice,Education
Reese's,Food & Beverage
Olive Garden,Restaurants
Olive Garden,Life & Entertainment
Shopify,Retail Stores
St. Jude Children's Research Hospital,Pharmaceutical & Medical
Indeed,Careers Services
Lysol,"Government, Politics, and Social Concerns"
Lysol,Home & Garden
Consumer Cellular,Electronics & Communication
Chick-fil-A,Restaurants
Chick-fil-A,Life & Entertainment
Lilly,Pharmaceutical & Medical
Sonic,Food & Beverage
Sonic,Restaurants
Sonic,Life & Entertainment
Chime,"Business, Finance, Legal, and Logistics"
Chime,Life & Entertainment
Bounce,Home & Garden
Panera Bread,Food & Beverage
Panera Bread,Restaurants
Panera Bread,Life & Entertainment
Blue Buffalo,Life & Entertainment
Blue Buffalo,Pets
Zepbound,Pharmaceutical & Medical
Kentucky Fried Chicken (KFC),Restaurants
Kentucky Fried Chicken (KFC),Life & Entertainment
L'Oréal Paris,Health & Beauty
CAPLYTA,Pharmaceutical & Medical
Metro by T-Mobile,Electronics & Communication
Instacart,Food & Beverage
Wayfair,Retail Stores
Wayfair,"Business, Finance, Legal, and Logistics"
Secret,Health & Beauty
Warner Bros. Pictures,Life & Entertainment
Warner Bros. Pictures,Entertainment / Media / Leisure
Warner Bros. Pictures,Travel
Michelob ULTRA,Food & Beverage
Homes.com,"Business, Finance, Legal, and Logistics"
Credit Karma,"Business, Finance, Legal, and Logistics"
Credit Karma,Life & Entertainment
Papa John's,Restaurants
Papa John's,Life & Entertainment
Discover,"Business, Finance, Legal, and Logistics"
Discover,Life & Entertainment
DQ,Restaurants
DQ,Life & Entertainment
FanDuel,Life & Entertainment
FanDuel,Entertainment / Media / Leisure
Red Bull,Food & Beverage
Gillette,Health & Beauty
FX,Life & Entertainment
FX,Entertainment / Media / Leisure
Morgan & Morgan,"Business, Finance, Legal, and Logistics"
Morgan & Morgan,Life & Entertainment
Genesis,Vehicles Manufacturers
Ashley Furniture Homestore,Retail Stores
Ashley Furniture Homestore,Home & Garden
Oral-B,Health & Beauty
Dream Games,Life & Entertainment
Head & Shoulders,Health & Beauty
Head & Shoulders,Cosmetic / Hygiene
Nature Made,Health & Beauty
DealDash,Retail Stores
TJ Maxx,Retail Stores
TJ Maxx,"Business, Finance, Legal, and Logistics"
Netflix,Life & Entertainment
Netflix,Electronics & Communication
Dick's Sporting Goods,Retail Stores
Dick's Sporting Goods,"Apparel, Footwear, and Accessories"
Dick's Sporting Goods,Life & Entertainment
Ebglyss,Pharmaceutical & Medical
Cologuard,Pharmaceutical & Medical
Marshalls,Retail Stores
Pillsbury,Food & Beverage
Wells Fargo,"Business, Finance, Legal, and Logistics"
Wells Fargo,Electronics & Communication
Wells Fargo,Life & Entertainment
20th Century Studios,Life & Entertainment
20th Century Studios,Entertainment / Media / Leisure
Carfax,"Vehicles Parts, Supplies, and Services"
Pizza Hut,Food & Beverage
Pizza Hut,Restaurants
Pizza Hut,Life & Entertainment
Mucinex,Health & Beauty
Mucinex,Health
Mucinex,Pharmaceutical & Medical
Neutrogena,Health & Beauty
Walt Disney World,Travel
HBO,Life & Entertainment
HBO,Entertainment / Media / Leisure
Booking.com,Travel
CeraVe,Health & Beauty
IKEA,Retail Stores
Wegovy,Health & Beauty
Air Wick,Home & Garden
MiraLAX,Pharmaceutical & Medical
Experian,"Business, Finance, Legal, and Logistics"
Experian,Life & Entertainment
Experian,Insurance
Mattress Firm,Retail Stores
Mattress Firm,Home & Garden
Airbnb,Travel
IHOP,Restaurants
IHOP,Life & Entertainment
Pantene,Health & Beauty
Applebee's,Restaurants
Old Navy,Retail Stores
Old Navy,"Apparel, Footwear, and Accessories"
Amica,Insurance
Cheez-It,Food & Beverage
Ring,Life & Entertainment
Ring,Home & Garden
Freshpet,Pets
Audi,Vehicles Manufacturers
AARP,"Business, Finance, Legal, and Logistics"
AARP,"Government, Politics, and Social Concerns"
AARP,Life & Entertainment
AARP,Insurance
Coors Light,Food & Beverage
Native,Health & Beauty
Bob's Discount Furniture,Retail Stores
Bob's Discount Furniture,Home & Garden
Pepsi,Food & Beverage
Pepsi,Life & Entertainment
Chili's,Restaurants
Rocket Money,"Business, Finance, Legal, and Logistics"
Dave,Life & Entertainment
Cheerios,Food & Beverage
DIRECTV,Electronics & Communication
DIRECTV,Life & Entertainment
Always,Health & Beauty
M&M's,Food & Beverage
Rexulti,Pharmaceutical & Medical
Walgreens,Retail Stores
Walgreens,"Government, Politics, and Social Concerns"
Walgreens,Life & Entertainment
Walgreens,Pharmaceutical & Medical
Harbor Freight,Retail Stores
Bud Light,Food & Beverage
Etsy,Retail Stores
Etsy,Life & Entertainment
Nespresso,Food & Beverage
Nespresso,Electronics & Communication
Nespresso,Home & Garden
Tylenol,Health & Beauty
Tylenol,Pharmaceutical & Medical
SoFi,"Business, Finance, Legal, and Logistics"
SoFi,Life & Entertainment
Royal Caribbean Cruise Lines,Travel
RSV and Me,Pharmaceutical & Medical
Arm & Hammer,Health & Beauty
Arm & Hammer,Pets
Arm & Hammer,Home & Garden
Sleep Number,Retail Stores
Sleep Number,Home & Garden
Zevo,Home & Garden
TNT,Life & Entertainment
TNT,Electronics & Communication
Homeaglow,Home & Garden
Bimzelx,Pharmaceutical & Medical
Carvana,"Vehicles Parts, Supplies, and Services"
Hershey's,Food & Beverage
Vraylar,Pharmaceutical & Medical
TUMS,Health & Beauty
TUMS,Pharmaceutical & Medical
The CW,Life & Entertainment
The CW,Entertainment / Media / Leisure
University of Phoenix,Education
USA Network,Life & Entertainment
Focus Features,Life & Entertainment
Hilton,Electronics & Communication
Hilton,Travel
McCormick,Food & Beverage
Jardiance,Pharmaceutical & Medical
Jersey Mike's,Food & Beverage
Jersey Mike's,Restaurants
Jersey Mike's,Life & Entertainment
Voltaren,Health & Beauty
Voltaren,Pharmaceutical & Medical
J.P. Morgan,"Business, Finance, Legal, and Logistics"
Clorox,"Government, Politics, and Social Concerns"
Clorox,Consumer Products
Clorox,Home & Garden
Ancestry,Pharmaceutical & Medical
Total Wireless,Electronics & Communication
NordVPN,Electronics & Communication
National Football League (NFL),"Government, Politics, and Social Concerns"
National Football League (NFL),Life & Entertainment
National Football League (NFL),Electronics & Communication
Infiniti,Vehicles Manufacturers
FreeStyle,Life & Entertainment
FreeStyle,Pharmaceutical & Medical
SimpliSafe,Home & Garden
DriveTime,"Vehicles Parts, Supplies, and Services"
La Roche-Posay,Health & Beauty
Schiff Vitamins,Health & Beauty
Ferrero Rocher,Food & Beverage
Whole Foods Market,Retail Stores
Whole Foods Market,Food & Beverage
Mounjaro,Pharmaceutical & Medical
Leaf Filter,Home & Garden
Repatha,Pharmaceutical & Medical
TBS,Life & Entertainment
Southern New Hampshire University (SNHU),Education
Microsoft,Electronics & Communication
Microsoft,Life & Entertainment
Samsung,Electronics & Communication
UnitedHealthcare,Insurance
Herbal Essences,Health & Beauty
Straight Talk Wireless,Electronics & Communication
All,Home & Garden
Daisy,Food & Beverage
Empire Today,Retail Stores
Pfizer,"Government, Politics, and Social Concerns"
Pfizer,Pharmaceutical & Medical
Gold Bond,Health & Beauty
Gold Bond,Pharmaceutical & Medical
Depend,Health & Beauty
Depend,"Apparel, Footwear, and Accessories"
Buffalo Wild Wings,Restaurants
Tempur-Pedic,Home & Garden
Pepto-Bismol,Pharmaceutical & Medical
The Good Feet Store,Retail Stores
CAPVAXIVE,Pharmaceutical & Medical
Arby's,Food & Beverage
Arby's,"Apparel, Footwear, and Accessories"
Arby's,Restaurants
Arby's,Life & Entertainment
Nuts.com,Retail Stores
Nuts.com,Food & Beverage
Ace Hardware,Retail Stores
Ace Hardware,Life & Entertainment
Ace Hardware,Home & Garden
HBO Max,Life & Entertainment
Discovery,"Government, Politics, and Social Concerns"
Discovery,Life & Entertainment
Discovery,Travel
DraftKings,Life & Entertainment
NFL+,Life & Entertainment
One A Day,Health & Beauty
Trust & Will,"Business, Finance, Legal, and Logistics"
Colgate,Health & Beauty
Food Network,Life & Entertainment
Food Network,Electronics & Communication
Metamucil,Food & Beverage
Metamucil,Health & Beauty
Metamucil,Pharmaceutical & Medical
Alka-Seltzer,Pharmaceutical & Medical
New Balance,"Apparel, Footwear, and Accessories"
New Balance,Life & Entertainment
Kraft,Food & Beverage
Hidden Valley,Food & Beverage
Ad Council,"Business, Finance, Legal, and Logistics"
Ad Council,"Government, Politics, and Social Concerns"
Ad Council,Government / Organizations
Ad Council,Pharmaceutical & Medical
ZzzQuil,Health & Beauty
ZzzQuil,Pharmaceutical & Medical
Iams,Pets
Uber Eats,Restaurants
Walden University,Education
WeatherTech,Retail Stores
WeatherTech,"Vehicles Parts, Supplies, and Services"
WeatherTech,Health & Beauty
WeatherTech,Electronics & Communication
WeatherTech,Life & Entertainment
WeatherTech,Pets
Acura,Vehicles Manufacturers
BREZTRI,Pharmaceutical & Medical
Neffy,Pharmaceutical & Medical
Kay Jewelers,"Business, Finance, Legal, and Logistics"
Kay Jewelers,"Apparel, Footwear, and Accessories"
Huggies,Health & Beauty
Wingstop,Restaurants
Hims,Health & Beauty
Hims,Pharmaceutical & Medical
Cricket Wireless,Electronics & Communication
Garnier,Health & Beauty
Mint Mobile,Electronics & Communication
Noom,Health & Beauty
Austedo XR,Pharmaceutical & Medical
Red Lobster,Food & Beverage
Red Lobster,Restaurants
Comedy Central,Life & Entertainment
Farmers Insurance,Life & Entertainment
Farmers Insurance,Insurance
Ro,Health & Beauty
Ro,Pharmaceutical & Medical
Hers,Health & Beauty
Hers,Life & Entertainment
Hers,Pharmaceutical & Medical
Nemluvio,Pharmaceutical & Medical
LegXercise,Health & Beauty
LegXercise,Electronics & Communication
Campbell's,Food & Beverage
Ingrezza,Pharmaceutical & Medical
Colonial Penn,Insurance
Salonpas,Pharmaceutical & Medical
Pandora,"Apparel, Footwear, and Accessories"
Jacuzzi Bath Remodel,Home & Garden
Dior,Health & Beauty
Expedia,Life & Entertainment
Expedia,Travel
BMW,Vehicles Manufacturers
Special K,Food & Beverage
Little Caesars,Restaurants
Nurtec ODT,Pharmaceutical & Medical
Entyvio,Pharmaceutical & Medical
Lindt,Food & Beverage
Humana,Insurance
Fisher Investments,"Business, Finance, Legal, and Logistics"
The UPS Store,Retail Stores
Robitussin,Pharmaceutical & Medical
American Express,"Business, Finance, Legal, and Logistics"
American Express,Life & Entertainment
CarShield,"Vehicles Parts, Supplies, and Services"
Buick,Vehicles Manufacturers
Tovala,Food & Beverage
Tovala,Electronics & Communication
Tovala,Life & Entertainment
Lionsgate,Life & Entertainment
Realtor.com,"Business, Finance, Legal, and Logistics"
Realtor.com,Life & Entertainment
Thuma,Home & Garden
Insurify,Electronics & Communication
Sheba,Pets
Jameson Irish Whiskey,Food & Beverage
Autotrader,"Vehicles Parts, Supplies, and Services"
HomeGoods,Retail Stores
Crown Royal,Food & Beverage
Prilosec OTC,Pharmaceutical & Medical
America's Best Contacts & Eyeglasses,Pharmaceutical & Medical
Nature Valley,Food & Beverage
Tostitos,Food & Beverage
Dulcolax,Health & Beauty
Dulcolax,Pharmaceutical & Medical
Snuggle,Home & Garden
Stanley Steemer,Home & Garden
Apple TV+,Life & Entertainment
BIKTARVY,Pharmaceutical & Medical
Golden Corral,Restaurants
Golden Corral,Life & Entertainment
L.L. Bean,"Apparel, Footwear, and Accessories"
University of Maryland Global Campus,Education
Biofreeze,Pharmaceutical & Medical
LifeLock,Electronics & Communication
Icy Hot,Pharmaceutical & Medical
Cobenfy,Pharmaceutical & Medical
Keytruda,Pharmaceutical & Medical
Vrbo,Life & Entertainment
Vrbo,Travel
Land Rover,"Vehicles Parts, Supplies, and Services"
Land Rover,Vehicles Manufacturers
Denny's,Restaurants
National Debt Relief,"Business, Finance, Legal, and Logistics"
Sony Pictures Releasing,Life & Entertainment
TLC,Life & Entertainment
Listerine,Health & Beauty
WhatsApp,Life & Entertainment
Claritin,Pharmaceutical & Medical
Prevagen,Pharmaceutical & Medical
NFL Network,"Government, Politics, and Social Concerns"
NFL Network,Life & Entertainment
NFL Network,Entertainment / Media / Leisure
Trivago,Travel
GoodRx,Pharmaceutical & Medical
United States Postal Service (USPS),"Business, Finance, Legal, and Logistics"
Credit One Bank,"Business, Finance, Legal, and Logistics"
Credit One Bank,Life & Entertainment
Yves Saint Laurent,Health & Beauty
Zyrtec,Pharmaceutical & Medical
Dell,Electronics & Communication
Philadelphia,Food & Beverage
Ethos,Insurance
Miebo,Pharmaceutical & Medical
CNN,Life & Entertainment
NFL Shop,Retail Stores
NFL Shop,"Apparel, Footwear, and Accessories"
NFL Shop,Life & Entertainment
Fox Nation,Life & Entertainment
Qunol,Health & Beauty
Endurance,Insurance
Home & Garden Television (HGTV),Life & Entertainment
Capella University,Education
Centers for Disease Control and Prevention (CDC),"Government, Politics, and Social Concerns"
Celebrity Cruises,Travel
PNC Bank,"Business, Finance, Legal, and Logistics"
PNC Bank,Life & Entertainment
Inspire,Pharmaceutical & Medical
Dunkin',Food & Beverage
Dunkin',Restaurants
Dunkin',Life & Entertainment
Shriners Hospitals for Children,Pharmaceutical & Medical
BEHR,Home & Garden
Natrol,Health & Beauty
Oura,Electronics & Communication
Fasenra,Pharmaceutical & Medical
BetMGM,Life & Entertainment
Opdivo,Pharmaceutical & Medical
Finish,Home & Garden
Bank of America,"Business, Finance, Legal, and Logistics"
Ulta Beauty,Retail Stores
Ulta Beauty,Health & Beauty
Airsupra,Pharmaceutical & Medical
American Home Shield (AHS),Home & Garden
Planet Fitness,Health & Beauty
Planet Fitness,Life & Entertainment
Custom Ink,"Business, Finance, Legal, and Logistics"
Michelin,"Vehicles Parts, Supplies, and Services"
Cadillac,Vehicles Manufacturers
QULIPTA,Pharmaceutical & Medical
Kleenex,Home & Garden
The General,Life & Entertainment
The General,Insurance
Lunchables,Food & Beverage
Bravo,Retail Stores
Bravo,Life & Entertainment
Bravo,Entertainment / Media / Leisure
Outback Steakhouse,Restaurants
Marco's,Restaurants
Marco's,Life & Entertainment
Southwest Airlines,Travel
Plexaderm,Health & Beauty
Miller,Food & Beverage
Hellmann's,Food & Beverage
SEPHORA,Retail Stores
DoorDash,Restaurants
DoorDash,"Government, Politics, and Social Concerns"
Gatorade,Food & Beverage
Gatorade,Health & Beauty
UBRELVY,Pharmaceutical & Medical
Lactaid,Food & Beverage
Centrum,Health & Beauty
Warby Parker,Health & Beauty
Warby Parker,"Apparel, Footwear, and Accessories"
Warby Parker,Life & Entertainment
VYVGART,Pharmaceutical & Medical
Trelegy,Pharmaceutical & Medical
Mercedes-Benz,Vehicles Manufacturers
Mercedes-Benz,Automotive / Vehicles
Cracker Barrel Old Country Store,Restaurants
Cracker Barrel Old Country Store,Life & Entertainment
Charles Schwab,"Business, Finance, Legal, and Logistics"
PayPal,"Business, Finance, Legal, and Logistics"
Auvelity,Pharmaceutical & Medical
Bombas,"Apparel, Footwear, and Accessories"
King,Life & Entertainment
Sublocade,Pharmaceutical & Medical
Smalls,Pets
Searchlight Pictures,Life & Entertainment
Afrin,Pharmaceutical & Medical
Rakuten,Retail Stores
Rakuten,Life & Entertainment
Persil,Home & Garden
Lay's,Food & Beverage
Tubi,Life & Entertainment
Tubi,Entertainment / Media / Leisure
Paze,"Business, Finance, Legal, and Logistics"
Cabenuva,Pharmaceutical & Medical
Stouffer's,Food & Beverage
Physicians Mutual,Insurance
Botox,Pharmaceutical & Medical
QuickBooks,"Business, Finance, Legal, and Logistics"
parodontax,Health & Beauty
Bose,"Vehicles Parts, Supplies, and Services"
Bose,Electronics & Communication
Bose,Life & Entertainment
Ozempic,Pharmaceutical & Medical
NHTSA (National Highway Traffic Safety Administration),"Government, Politics, and Social Concerns"
VABYSMO,Pharmaceutical & Medical
Aleve,Pharmaceutical & Medical
SNICKERS,Food & Beverage
Bausch + Lomb,Health & Beauty
Bausch + Lomb,Pharmaceutical & Medical
Home Title Lock,"Business, Finance, Legal, and Logistics"
CarMax,"Vehicles Parts, Supplies, and Services"
PrizePicks,Life & Entertainment
Twisted Tea,Food & Beverage
smartwater,Food & Beverage
Xiaflex,Pharmaceutical & Medical
Zocdoc,Electronics & Communication
Pampers,Health & Beauty
Affordable Dentures & Implants,Health & Beauty
IHG Hotels & Resorts,Travel
Haribo,Food & Beverage
Citi,"Business, Finance, Legal, and Logistics"
Citi,Life & Entertainment
Uqora,Pharmaceutical & Medical
Kisqali,Pharmaceutical & Medical
PetSmart,Retail Stores
PetSmart,Life & Entertainment
PetSmart,Pets
AutoZone,"Vehicles Parts, Supplies, and Services"
Saatva,Retail Stores
Saatva,Home & Garden
FedEx,"Business, Finance, Legal, and Logistics"
GovX,Retail Stores
SciPlay,Life & Entertainment
Michaels,Retail Stores
BetterHelp,Pharmaceutical & Medical
ClearChoice,Health & Beauty
Lovesac,Home & Garden
Pop-Tarts,Food & Beverage
Goldfish,Food & Beverage
Goldfish,Life & Entertainment
Goldfish,Home & Garden
HomeServe,Insurance
HomeServe,Home & Garden
VEOZAH,Pharmaceutical & Medical
Benefiber,Food & Beverage
Benefiber,Health & Beauty
CarGurus,"Vehicles Parts, Supplies, and Services"
Cottonelle,Health & Beauty
Cottonelle,Home & Garden
OpenAI,Electronics & Communication
OpenAI,Electronics / Technology
Universal Orlando Resort,Travel
Gusto,Electronics & Communication
BlueChew,Pharmaceutical & Medical
Camzyos,Pharmaceutical & Medical
Voya Financial,"Business, Finance, Legal, and Logistics"
Thumbtack,Electronics & Communication
Balsam Hill,Home & Garden
Quaker Oats,Food & Beverage
Ketel One,Food & Beverage
Sherwin-Williams,Home & Garden
Hill's Pet Nutrition,Pets
Ensure,Food & Beverage
Lancôme Paris,Health & Beauty
Dixie,Home & Garden
Factor,Food & Beverage
Sling TV,Electronics & Communication
Greenlight,"Business, Finance, Legal, and Logistics"
BetterSleep,Life & Entertainment
Lincoln Motor Company,Vehicles Manufacturers
BritBox,Life & Entertainment
Poise,Health & Beauty
Dial,Health & Beauty
Collars & Co.,Retail Stores
Diet Coke,Food & Beverage
YouTube TV,Life & Entertainment
YouTube TV,Entertainment / Media / Leisure
Always Discreet,Health & Beauty
Celsius,Food & Beverage
Old El Paso,Food & Beverage
Force Factor,Health & Beauty
Zillow,"Business, Finance, Legal, and Logistics"
Zillow,Life & Entertainment
ASPCA,"Government, Politics, and Social Concerns"
Bath Fitter,Home & Garden
Yrefy,"Business, Finance, Legal, and Logistics"
Turo,"Vehicles Parts, Supplies, and Services"
Choice Hotels,"Business, Finance, Legal, and Logistics"
Choice Hotels,Travel
Disney Cruise Line,Travel
CBS Sports Network,Life & Entertainment
CBS Sports Network,Entertainment / Media / Leisure
eBay,Retail Stores
La-Z-Boy,Retail Stores
La-Z-Boy,Home & Garden
Perdue Foods,Food & Beverage
Aveeno,Health & Beauty
EYLEA HD,Pharmaceutical & Medical
Amgen,Health & Beauty
Amgen,"Government, Politics, and Social Concerns"
Amgen,Pharmaceutical & Medical
PLUVICTO,Pharmaceutical & Medical
Ross,Retail Stores
Ross,"Business, Finance, Legal, and Logistics"
Ramp,"Business, Finance, Legal, and Logistics"
Gillette Venus,Health & Beauty
Omaha Steaks,Food & Beverage
Norwegian Cruise Lines,Travel
SkinnyPop,Food & Beverage
Degree,Health & Beauty
Emergen-C,Health & Beauty
Schwarzkopf,Health & Beauty
Comcast Business,Electronics & Communication
Resolve,Home & Garden
Jim Beam,Food & Beverage
Lume,Health & Beauty
Merck,Pharmaceutical & Medical
Dot's Pretzels,Food & Beverage
Hotels.com,Travel
Kit Kat,Food & Beverage
Copper Fit,Retail Stores
Copper Fit,Health & Beauty
Copper Fit,"Apparel, Footwear, and Accessories"
Beggin’ Strips,Pets
Chex,Food & Beverage
Kardia,Pharmaceutical & Medical
Sono Bello,Health & Beauty
Angel Soft,Home & Garden
Fabletics,Retail Stores
Fabletics,"Apparel, Footwear, and Accessories"
Temptations,Pets
MTV,Life & Entertainment
Sandals Resorts,Travel
Univision,Retail Stores
Univision,"Vehicles Parts, Supplies, and Services"
Univision,Education
Univision,"Government, Politics, and Social Concerns"
Univision,Life & Entertainment
Univision,Pharmaceutical & Medical
Univision,Entertainment / Media / Leisure
Univision,Careers Services
Nike,Retail Stores
Nike,"Apparel, Footwear, and Accessories"
Nike,Life & Entertainment
Lavazza,Food & Beverage
What Is Shingles?,Pharmaceutical & Medical
Varo,"Business, Finance, Legal, and Logistics"
Chanel,Health & Beauty
Iberogast,Pharmaceutical & Medical
Rao's Homemade,Food & Beverage
Carnival,Travel
Cerefolin Brain Wellness,Pharmaceutical & Medical
Kalshi,Life & Entertainment
Prada,Health & Beauty
Prada,"Apparel, Footwear, and Accessories"
Disney Channel,Retail Stores
Disney Channel,Life & Entertainment
Shutterfly,Retail Stores
Shutterfly,Electronics & Communication
STARZ,Life & Entertainment
Dos Equis,Food & Beverage
Thrivent,"Business, Finance, Legal, and Logistics"
Thrivent,Insurance
Evenity,Pharmaceutical & Medical
HumanN,Health & Beauty
HumanN,Pharmaceutical & Medical
Bulleit Frontier Whiskey,Food & Beverage
Spectrum,Electronics & Communication
Spectrum,Life & Entertainment
Ziploc,Home & Garden
ULTOMIRIS,Pharmaceutical & Medical
Allegra,Pharmaceutical & Medical
Mando,Health & Beauty
Mando,Cosmetic / Hygiene
Stoko,"Apparel, Footwear, and Accessories"
Aflac,Insurance
US Bank,"Business, Finance, Legal, and Logistics"
US Bank,Life & Entertainment
Chomps,Food & Beverage
Dr Pepper,Food & Beverage
Eggland's Best,Food & Beverage
Dexcom,Pharmaceutical & Medical
Freeform,Life & Entertainment
Nationwide,"Business, Finance, Legal, and Logistics"
Nationwide,Insurance
OGX,Health & Beauty
Aspen Dental,Health & Beauty
Airborne,Health & Beauty
Cortizone 10,Health & Beauty
Cortizone 10,Pharmaceutical & Medical
Otezla,Pharmaceutical & Medical
